Køn,Navn,2. fremmedsprog,Kunstnerisk fag,Afgangsskole-navn
K,134,Spansk begynder A,Designfag C,Sydvestjyllands Efterskole (557303)
K,135,Tysk fortsætter B,Designfag C,Skolerne i Oure - Sport & Performance (435301)
M,136,Fransk begynder A,Mediefag C,NOVAskolen (631011)
M,137,Spansk begynder A,Designfag C,Koldingegnens Idrætsefterskole (621304)
M,138,Spansk begynder A,Mediefag C,
K,139,Tysk fortsætter B,Musik C,Tørring Skole (627004)
K,140,Tysk fortsætter B,Billedkunst C,Elbæk Efterskole (609300)
M,141,Tysk fortsætter B,Mediefag C,Broby Fri- og Efterskole (efterskole) (425300)
M,142,Spansk begynder A,Mediefag C,Bredsten-Gadbjerg skole. Bredsten afdeling (280335)
M,143,Spansk begynder A,Mediefag C,Efterskolen PLAY (281861)
K,144,Tysk fortsætter B,Billedkunst C,Elbæk Efterskole (609300)
K,145,Tysk fortsætter B,Billedkunst C,Bramming Gymnastik- og Idrætsefterskole (557300)
K,146,Tysk fortsætter B,Billedkunst C,Brøruphus Efterskole (745300)
K,147,Tysk fortsætter B,Billedkunst C,Hældagerskolen (631017)
K,148,Spansk begynder A,Mediefag C,Lunderskov Efterskole (623301)
K,149,Tysk fortsætter B,Billedkunst C,Koldingegnens Idrætsefterskole (621304)
K,150,Tysk fortsætter B,Billedkunst C,Hjemly Fri- og Idrætsefterskole (473300)
K,151,Spansk begynder A,Billedkunst C,Vejlefjordskolen (grundskole) (613009)
M,152,Spansk begynder A,Mediefag C,Husby Efterskole (679304)
K,153,Tysk fortsætter B,Billedkunst C,Design- & Idrætsefterskolen Skamling (509300)
K,154,Tysk fortsætter B,Mediefag C,Ågård Efterskole (605302)
K,155,Tysk fortsætter B,Billedkunst C,Vandel Efterskole (605301)
K,156,Spansk begynder A,Musik C,Vejlefjordskolen (grundskole) (613009)
M,157,Tysk fortsætter B,Mediefag C,Brejning Efterskole (603301)
M,158,Spansk begynder A,Musik C,Flemming Efterskole (627300)
M,159,Tysk fortsætter B,Mediefag C,Efterskolen Ådalen og Åskolen - friskolen i Hørning (efterskolen) (715300)
M,160,Spansk begynder A,Mediefag C,Vandel Efterskole (605301)
K,161,Tysk fortsætter B,Billedkunst C,Kirstine Seligmanns Skole (631018)
M,162,Tysk fortsætter B,Musik C,Sct. Norberts Skole (631019)
M,163,Spansk begynder A,Designfag C,Fælleshåbsskolen (280333)
